model,image,garden,original_width,original_height,input_height,input_width,tp,fp,tn,fn,pred_boundary,true_boundary,matched_pred_boundary,matched_true_boundary,boundary_band_pixels,boundary_band_errors,mowable_iou,nonmowable_false_positive_rate,predicted_mowable_error_fraction,boundary_precision,boundary_recall,boundary_f1,boundary_band_error_rate,model_ms,end_to_end_ms
mit_resnet18_ade20k,images/2G0383645.jpg,2,4000,3000,600,800,3133458,35617,2683774,6147151,23681,8914,724,750,40885,19789,0.33634413763684995,0.013097417767433958,0.011238926185085553,0.03057303323339386,0.08413731209333633,0.044849186557170774,0.48401614283967226,195.35948181152344,2616.44239799989
mit_resnet18_ade20k,images/2G0393685.jpg,2,4000,3000,600,800,8617122,566026,2813236,3616,10778,13943,1766,1784,65929,30247,0.9379931823654118,0.16749988606979868,0.06163746898122517,0.16385229170532567,0.12794950871405006,0.14369219240756656,0.4587814163721579,168.6763458251953,2819.4668300002377
mit_resnet18_ade20k,images/2G0393708.jpg,2,4000,3000,600,800,7744139,125664,4078815,51382,10177,9856,874,919,48196,23008,0.9776490512467516,0.029888126448009374,0.015967871114435775,0.08587992532180407,0.0932426948051948,0.0894099880963824,0.47738401527097685,42.37152099609375,2647.0355970004675
mit_resnet18_ade20k,images/2G0393739.jpg,2,4000,3000,600,800,8805612,192262,2976891,25235,9730,10987,451,440,51786,24903,0.9758955588367602,0.060666682864475144,0.021367491920869307,0.046351490236382326,0.040047328661144986,0.04296941525628612,0.48088286409454295,190.22393798828125,2762.3797999995077
mit_resnet18_ade20k,images/2G0403768.jpg,2,4000,3000,600,800,8524859,232746,3241568,827,8852,9791,361,370,45817,22068,0.9733316420108075,0.06699049078465562,0.026576444130558527,0.04078174423859015,0.03778980696558064,0.039228810399614324,0.4816552807909728,42.60067367553711,2573.2075500000064
mit_resnet18_ade20k,images/2G0403795.jpg,2,4000,3000,600,800,9058560,60161,2877762,3517,8012,9388,2083,2014,43936,18772,0.9930194761417099,0.02047739168112983,0.006597526122358607,0.25998502246630056,0.21452918619514275,0.23507989549967426,0.4272578295702841,161.7216339111328,2941.177562000121
mit_resnet18_ade20k,images/2G0413815.jpg,2,4000,3000,600,800,9187432,12177,2559623,240768,13713,9518,2433,2450,44749,19310,0.9732060488685992,0.004734816082121471,0.001323643211358222,0.1774228833953183,0.2574070182811515,0.21005866990082697,0.4315180227491117,207.0023651123047,2784.6484869996857
mit_resnet18_ade20k,images/2G0413844.jpg,2,4000,3000,600,800,7357107,520530,4121642,721,12128,14019,646,692,66170,32010,0.9338376093089449,0.11213070088742942,0.06607692128997567,0.053265171503957785,0.04936158071189101,0.05123913610352545,0.4837539670545564,162.4220428466797,2677.8595710002264
mit_resnet18_ade20k,images/2G0423888.jpg,2,4000,3000,600,800,9408871,78450,2510738,1941,8004,8399,928,940,38306,17864,0.9915282136798415,0.030299074458865097,0.008268930712895663,0.11594202898550725,0.11191808548636742,0.11389452639869144,0.4663499190727301,41.83814239501953,2591.065354999955
mit_resnet18_ade20k,images/2G0433921.jpg,2,4000,3000,600,800,7989429,221129,2595764,1193678,27296,9395,185,200,43227,21264,0.8495564126633998,0.07850102932557254,0.02693227427417235,0.006777549824150059,0.021287919105907396,0.010281669103931697,0.49191477548754253,202.11260986328125,2737.308629999461
